Comment;Description;Designator;Footprint;LibRef;Quantity
;;;;;
0.1uF;Cap Ceramic 0.001uF 100V Y5P 10% (5 X 4mm) Radial 5mm 85°C Bulk;C1, C2;PCB-0e55m2lowdvgwfa8nbdo-1;CMP-9ca8572543d8436f-2;2
10uF;Cap Ceramic 0.001uF 100V Y5P 10% (5 X 4mm) Radial 5mm 85°C Bulk;C3;PCB-0e55m2lowdvgwfa8nbdo-1;CMP-9ca8572543d8436f-2;1
4.7uF;Cap Ceramic 0.001uF 100V Y5P 10% (5 X 4mm) Radial 5mm 85°C Bulk;C4, C5;PCB-0e55m2lowdvgwfa8nbdo-1;CMP-9ca8572543d8436f-2;2
RGB LED;LED Tri-Color Blue/Green/Red 460nm/515nm/645nm 4-Pin T-1 3/4 Bag;D1;PCB-z73ilz2zi6klaqka9exw-1;CMP-73afba1d248aac68-11;1
CUI PJ-002AH;2 x 6.5 mm, 5.0 A, Horizontal, Through Hole, Dc Power Jack Connector;J1;PCB-0ty8amadexon1yj69y31-1;CMP-0cf6c5f84932d331-8;1
OSTVN04A150;Conn Terminal Block 4 POS 2.54mm Solder ST Thru-Hole 6A;J2, J4, J5;SCREW-TERMINAL-10POS-0.1;CMP-4dbe8591ef2d9279-5;3
;THT Vertical Pin Header WR-PHD, Pitch 2.54 mm, Single Row, 4 pins;J3;PCB-zwzarwukgasku3amzi4v-1;CMP-e0a0285f90243f67-15;1
Würth Elektronik 61301221021;Board-To-Board Connector, Right Angle, WR-PHD Series, Through Hole, Header, 12, 2.54 mm;J6;PCB-r8qoehg2tlf18v98zo8t-1;CMP-21bee941512bfe79-2;1
NEMOS-GSD-3;Transistor NPN Mos BSS138 FAIRCHILD RoHS miliampere=220 V=50 SOt23;Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q12, Q13;PCB-dbhk9q13wds7exg38ggf-1;CMP-2868e1aa5c2af7af-8;10
FDN352AP;FDN352AP Series 30 V 180 mOhm Single P-Channel PowerTrench Mosfet SSOT-3;Q9, Q10, Q11;PCB-828082-1;CMP-a09a6995a75c7f5d-1;3
10k;ERG Series 3 W 10 kOhm ±5% ±300 ppm/°C Axial Metal Oxide Film Resistor;R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R21, R22, R23, R24;PCB-h8byfae9iaxnn3vjg0ka-1;CMP-3f5ef504e47fe099-1;21
220R;ERG Series 3 W 10 kOhm ±5% ±300 ppm/°C Axial Metal Oxide Film Resistor;R18, R19, R20;PCB-h8byfae9iaxnn3vjg0ka-1;CMP-3f5ef504e47fe099-1;3
Toshiba TB6612FNG,C,8,EL;Brushed DC Motor Driver 2.7V to 5.5V 24-Pin SSOP Emboss T/R;U1;PCB-fyppdawycyedc6r4zcju-1;CMP-19a5d1d8b246c662-10;1
Texas Instruments SN74CBTLV3257PW;4-channel, 2: 1 analog switch with power-off protection 16-TSSOP -40 to 85;U2;PCB-50fvnlmj5rlotdvbdxi1-1;CMP-7b02b202ae27a4c5-1;1
Arduino NANO;arduino nano;U3, U5;PCB-kcq4ssidua0wf3ce18dn-1;CMP-40a988ff651f9f6e-14;2
SparkFun WRL-13678;Esp8266-01;U4;PCB-pr7ep0xgk71wl34p5oug-1;CMP-c24208b6f91d1d85-6;1
